CRASH DATE TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CONTRIBUTING CATEGORY V1,SEASON,TIME OF DAY,IS RUSH HOUR
2023-01-01 00:00:00,QUEENS,11101,40.745068,-73.936356,0,0,Driver Inattention/Distraction,4599239,Station Wagon/Sport Utility Vehicle,Driver Inattention,Winter,Late Night,False
2023-01-01 03:10:00,QUEENS,11385,40.702595,-73.8553,1,0,Following Too Closely,4594669,Sedan,Moving Violation,Winter,Late Night,False
2023-01-01 03:14:00,QUEENS,11368,40.74788,-73.85731,0,0,Driver Inattention/Distraction,4594459,Sedan,Driver Inattention,Winter,Late Night,False
2023-01-01 04:30:00,QUEENS,11373,40.741844,-73.86975,0,0,Driver Inattention/Distraction,4594458,Pick-up Truck,Driver Inattention,Winter,Early Morning,False
2023-01-01 05:00:00,BROOKLYN,11236,40.649895,-73.90762,1,0,Passing or Lane Usage Improper,4594564,Sedan,Moving Violation,Winter,Early Morning,False
2023-01-01 05:00:00,BROOKLYN,11207,40.67811,-73.89762,1,0,Traffic Control Disregarded,4594587,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Early Morning,False
2023-01-01 05:36:00,BROOKLYN,11207,40.663136,-73.88325,0,0,Unsafe Speed,4594580,Sedan,Moving Violation,Winter,Early Morning,False
2023-01-01 06:45:00,QUEENS,11368,40.73928,-73.85053,1,0,Driver Inattention/Distraction,4594462,Sedan,Driver Inattention,Winter,Early Morning,True
2023-01-01 09:50:00,QUEENS,11373,40.746346,-73.87239,0,0,Unsafe Speed,4594924,Sedan,Moving Violation,Winter,Morning,False
2023-01-01 10:15:00,BROOKLYN,11207,40.67816,-73.897484,0,0,Driver Inattention/Distraction,4594589,Sedan,Driver Inattention,Winter,Morning,False
2023-01-01 10:30:00,QUEENS,11368,40.74495,-73.86129,0,0,Passing or Lane Usage Improper,4596206,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Morning,False
2023-01-01 11:30:00,QUEENS,11368,40.74484,-73.85225,3,0,Failure to Yield Right-of-Way,4594925,Sedan,Moving Violation,Winter,Morning,False
2023-01-01 12:00:00,BROOKLYN,11211,40.70669,-73.95884,0,0,Passing or Lane Usage Improper,4594905,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Afternoon,False
2023-01-01 15:42:00,BROOKLYN,11234,40.626457,-73.918,0,0,Turning Improperly,4594835,Sedan,Moving Violation,Winter,Afternoon,False
2023-01-01 16:30:00,BROOKLYN,11207,40.651337,-73.889595,1,0,Driver Inattention/Distraction,4594588,Sedan,Driver Inattention,Winter,Evening,True
2023-01-01 19:00:00,BROOKLYN,11206,40.708237,-73.94337,1,0,Driver Inattention/Distraction,4599015,Station Wagon/Sport Utility Vehicle,Driver Inattention,Winter,Evening,True
2023-01-01 20:00:00,QUEENS,11373,40.747864,-73.873985,2,0,Driver Inattention/Distraction,4596592,Station Wagon/Sport Utility Vehicle,Driver Inattention,Winter,Night,False
2023-01-01 20:35:00,BROOKLYN,11211,40.71337,-73.934814,1,0,Failure to Yield Right-of-Way,4597638,Bike,Moving Violation,Winter,Night,False
2023-01-01 22:10:00,BROOKLYN,11211,40.703434,-73.96035,0,0,Driver Inattention/Distraction,4595466,Bus,Driver Inattention,Winter,Night,False
2023-01-01 22:30:00,BROOKLYN,11206,40.706806,-73.94878,0,0,Backing Unsafely,4595464,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-02 03:10:00,QUEENS,11385,40.71043,-73.9106,0,0,Passing Too Closely,4595750,Sedan,Moving Violation,Winter,Late Night,False
2023-01-02 05:07:00,BROOKLYN,11236,40.634815,-73.901276,0,0,Traffic Control Disregarded,4594796,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Early Morning,False
2023-01-02 05:15:00,QUEENS,11385,40.707237,-73.89664,0,0,Backing Unsafely,4595757,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Early Morning,False
2023-01-02 10:00:00,QUEENS,11368,40.75606,-73.85859,0,0,Driver Inattention/Distraction,4598472,Station Wagon/Sport Utility Vehicle,Driver Inattention,Winter,Morning,False
2023-01-02 10:17:00,BROOKLYN,11206,40.702,-73.93205,0,0,Driver Inattention/Distraction,4595790,Sedan,Driver Inattention,Winter,Morning,False
2023-01-02 11:15:00,BROOKLYN,11207,40.657314,-73.88864,1,0,Turning Improperly,4594839,Sedan,Moving Violation,Winter,Morning,False
