CRASH DATE TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CONTRIBUTING CATEGORY V1,SEASON,TIME OF DAY,IS RUSH HOUR
2023-01-01 00:00:00,QUEENS,11101,40.745068,-73.936356,0,0,Driver Inattention/Distraction,4599239,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Late Night,False
2023-01-01 00:34:00,QUEENS,11435,40.713543,-73.81264,1,0,Alcohol Involvement,4594890,Sedan,Bodily Impairment,Winter,Late Night,False
2023-01-01 00:35:00,BROOKLYN,11229,40.60131,-73.95472,0,0,Backing Unsafely,4594332,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Night,False
2023-01-01 01:10:00,BROOKLYN,11223,40.59376,-73.98274,2,0,Unsafe Speed,4594435,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Late Night,False
2023-01-01 01:17:00,QUEENS,11375,40.724308,-73.842575,0,0,Alcohol Involvement,4595209,Sedan,Bodily Impairment,Winter,Late Night,False
2023-01-01 01:20:00,QUEENS,11377,40.74872,-73.89625,2,0,Driver Inattention/Distraction,4594694,Taxi,Driver Error,Winter,Late Night,False
2023-01-01 01:30:00,QUEENS,11418,40.701218,-73.81622,0,0,Passing or Lane Usage Improper,4594759,Sedan,Moving Violation,Winter,Late Night,False
2023-01-01 01:45:00,BROOKLYN,11207,40.652767,-73.8863,0,0,Alcohol Involvement,4594579,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Late Night,False
2023-01-01 01:45:00,QUEENS,11103,40.762856,-73.90812,2,0,Failure to Yield Right-of-Way,4594591,Sedan,Moving Violation,Winter,Late Night,False
2023-01-01 02:27:00,QUEENS,11354,40.764454,-73.83178,0,0,Passing Too Closely,4595038,Sedan,Moving Violation,Winter,Early Morning,False
2023-01-01 02:59:00,QUEENS,11367,40.72536,-73.818405,1,0,Driver Inattention/Distraction,4594888,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Early Morning,False
2023-01-01 03:00:00,BROOKLYN,11218,40.643456,-73.972725,2,0,Driver Inattention/Distraction,4594729,Sedan,Driver Error,Winter,Early Morning,False
2023-01-01 03:00:00,QUEENS,11361,40.760284,-73.769356,2,0,Alcohol Involvement,4595720,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Early Morning,False
2023-01-01 03:00:00,QUEENS,11421,40.69171,-73.864746,0,0,Alcohol Involvement,4595605,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Early Morning,False
2023-01-01 03:02:00,QUEENS,11106,40.765373,-73.92966,1,0,Unsafe Speed,4594943,Sedan,Moving Violation,Winter,Early Morning,False
